record_id,target_scope,document_title,document_type,document_date_or_version,source_path,source_sha256,applicability_2011,supported_use,justification,version_relationship
APP-EMENTARIO-CM005-2026-09-04,CM005,Ementário component record — CM005,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161254.html,af2bae14ab5f0c5175049be81662c913338c1e97b75bc15560475a88007e90cd,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-BQ005-2026-09-04,BQ005,Ementário component record — BQ005,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161255.html,b47c7fd7f9d131a33a64f604f91b9edcc629245bd02bcfd5a862a478e16ccc02,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI244-2026-09-04,CI244,Ementário component record — CI244,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161256.html,41181de757e0bfbee8c09d4e6ce393a0f5e159efa49873ee058f265e3ac951b4,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI057-2026-09-04,CI057,Ementário component record — CI057,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161257.html,82e1f96889c14b25865484a093f60fdb5a0bb5d6c6b5b9e3f2b1c03314cdf914,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI166-2026-09-04,CI166,Ementário component record — CI166,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161258.html,fadfcb1c476b67e96d4560090f379043ef6338409daaa27e1c0f234ae849cce9,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-BQ054-2026-09-04,BQ054,Ementário component record — BQ054,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161259.html,77fb834a707aa2c98d88b25e3c01a53e766c348e4f1c7d6e99bd49edc0f9a7ec,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-BC056-2026-09-04,BC056,Ementário component record — BC056,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161260.html,c6b25b1d897c08093ae9c67bdf6e4c0cfe8503fc30205b2fb7afe5e7ef216e78,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI215-2026-09-04,CI215,Ementário component record — CI215,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161261.html,b9c35e6f7c73ba4c943f443e6d68c2dc571bbb98b487105438a81e797e20dbfb,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI062-2026-09-04,CI062,Ementário component record — CI062,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161262.html,7c185fa1c34ff08374cdc0162cbaa3b0895d53b68848bd11997a6a598d55b150,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CE003-2026-09-04,CE003,Ementário component record — CE003,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161263.html,8b70cb63e015903b2b1d1e4fc596b3249b7f0f3cebba4c3f625a3e3f1bb1646b,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI164-2026-09-04,CI164,Ementário component record — CI164,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161264.html,7f3b5289edb2664004ec2b6c39761042880fc17dd78133718fe03a4ff2cfa9b0,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-BF075-2026-09-04,BF075,Ementário component record — BF075,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161265.html,0f70753326ab68a15babf34ea0d8599c918a4c1507553322956b593c4a89c808,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-BG054-2026-09-04,BG054,Ementário component record — BG054,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161266.html,4bcf3f973b2352949314b71d688e8f2a6a17467d7492e860b99907c1a856ff47,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI162-2026-09-04,CI162,Ementário component record — CI162,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161267.html,b30e8178d028d221d250b451ca120e05f670da5e1a76fda0a00c0c53766dcaed,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI065-2026-09-04,CI065,Ementário component record — CI065,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161268.html,05926c56a8826a75a31a2273c7cab5db238dbcafcd9d9a98f225cd8cc9dff946,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI171-2026-09-04,CI171,Ementário component record — CI171,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161269.html,1dcaa94066ab98d512488738b5f86d671b348e198b7bef06d9524f46784f304e,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI316-2026-09-04,CI316,Ementário component record — CI316,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161270.html,44ecaf83ea35d7a6eeb7b212f87c8c6cb6fde652f2593e5c39b45fb912ab7364,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-MN127-2026-09-04,MN127,Ementário component record — MN127,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161271.html,b9849004bf5de17e13ab0b0dcfc3c6a9381e10d7fd89f3198a12e9f5a6a60a79,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI167-2026-09-04,CI167,Ementário component record — CI167,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161273.html,97d5797451a8062c5e5e8258baf2be452160da4457c71c5a99bccdf60d8b00fd,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI209-2026-09-04,CI209,Ementário component record — CI209,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161274.html,d942ad2a52e3ec2a0982bb31c6af600d2d4d743566921280447a9637120613e3,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI218-2026-09-04,CI218,Ementário component record — CI218,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161275.html,89fdebcb14b4df444b3de3a5b2b0eb5ba7b11f33f09f34b9737ec52e207b81e1,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI394-2026-09-04,CI394,Ementário component record — CI394,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161276.html,88ceae5e08ba0e686058df303c55c5fd769e4689b87d056ae18a7e1fea4e93bf,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-MN128-2026-09-04,MN128,Ementário component record — MN128,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161277.html,80f7adfdb5453f91eddd65dffdf901b34edb5caa94f87508295a7427ea23a5d0,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI220-2026-09-04,CI220,Ementário component record — CI220,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161278.html,39818ab5bedada60dc3bda8430cfb37798036d10544d59bf1ab112975b79e6e5,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI221-2026-09-04,CI221,Ementário component record — CI221,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161279.html,e8495d9f287c708e67a29a9480f3d00ade6b339c226262cc39f9fb7ef2350ae4,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI169-2026-09-04,CI169,Ementário component record — CI169,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161280.html,c75af921e6e8a38f6583165657fc5f33d68c215a4581b08a06a1b09910542599,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI172-2026-09-04,CI172,Ementário component record — CI172,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161281.html,473999e5ad320fbeafd1b48374a678da3882835083d2632c05761ce7ac0d29c1,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-MN129-2026-09-04,MN129,Ementário component record — MN129,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161282.html,2b96f9e30529967d028c7d4253b5cb5dee49d2ee466b1b2840a57ce71b162076,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-EMENTARIO-CI262-2026-09-04,CI262,Ementário component record — CI262,HTML page,Current 96A portal representation captured 2026-09-04; date and validity not stated,curriculos/2011/fontes/ementario/disciplinas/161283.html,5188601fed48462b87d572555496b50c790391d55423c046a3429c4913a77c2f,indeterminada,Current 96A portal record identity and displayed fields only.,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,Current undated portal representation; not a proven historical 2011 version.
APP-FICHA1-CI241-2025-05-14,CI241,Ficha 1 (permanente) — Introdução a Sistemas Computacionais,Ficha 1,Multi-course PDF; CI241 section signed 2025-05-14,curriculos/2011/fichas/ficha-1-indeterminada/CI241-ficha-1-2025-3-periodo.pdf,dc041f81505ba3610f7bed682763df3b0166cd7fc1caa5834325dea26532b8df,indeterminada,Presence and contents of the preserved 2025 CI241 Ficha only.,The Ficha is signed in 2025. Code and title continuity do not establish its validity for the 2011 curriculum.,Later separate Ficha version; not merged with the 2010 act or portal page.
