evidence_id,target_id,code,document_title,name_literal,ementa_literal,ementa_normalized,ementa_presence,total_hours,weekly_hours,credits,nature_literal,unit_literal,unit_normalized,prerequisites_literal,corequisites_literal,document_type,document_date,document_version,source_url,accessed_at,source_path,source_sha256,source_locator,applicability_2011,applicability_justification,observations
EMENTARIO-CI171-2026-09-04,CI171,CI171,Ementário component record — CI171,APRENDIZADO DE MÁQUINAS,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161269,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161269.html,1dcaa94066ab98d512488738b5f86d671b348e198b7bef06d9524f46784f304e,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI316-2026-09-04,CI316,CI316,Ementário component record — CI316,Programação Paralela,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161270,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161270.html,44ecaf83ea35d7a6eeb7b212f87c8c6cb6fde652f2593e5c39b45fb912ab7364,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-MN127-2026-09-04,MN127,MN127,Ementário component record — MN127,"Saúde, Meio Ambiente e Sociedade",Não consta,,ausente_na_fonte,60,,4,Obrigatória,Departamento de Enfermagem,Departamento de Enfermagem,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161271,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161271.html,b9849004bf5de17e13ab0b0dcfc3c6a9381e10d7fd89f3198a12e9f5a6a60a79,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI167-2026-09-04,CI167,CI167,Ementário component record — CI167,Sistemas de Informação em Saúde,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161273,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161273.html,97d5797451a8062c5e5e8258baf2be452160da4457c71c5a99bccdf60d8b00fd,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI209-2026-09-04,CI209,CI209,Ementário component record — CI209,INTELIGENCIA ARTIFICIAL,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161274,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161274.html,d942ad2a52e3ec2a0982bb31c6af600d2d4d743566921280447a9637120613e3,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI218-2026-09-04,CI218,CI218,Ementário component record — CI218,SISTEMAS DE BANCOS DE DADOS,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161275,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161275.html,89fdebcb14b4df444b3de3a5b2b0eb5ba7b11f33f09f34b9737ec52e207b81e1,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI394-2026-09-04,CI394,CI394,Ementário component record — CI394,PROCESSAMENTO DE IMAGENS,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161276,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161276.html,88ceae5e08ba0e686058df303c55c5fd769e4689b87d056ae18a7e1fea4e93bf,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-MN128-2026-09-04,MN128,MN128,Ementário component record — MN128,Organização do Sistema de Saúde Brasileiro,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Enfermagem,Departamento de Enfermagem,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161277,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161277.html,80f7adfdb5453f91eddd65dffdf901b34edb5caa94f87508295a7427ea23a5d0,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI220-2026-09-04,CI220,CI220,Ementário component record — CI220,TEORIA DE SISTEMAS,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161278,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161278.html,39818ab5bedada60dc3bda8430cfb37798036d10544d59bf1ab112975b79e6e5,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI221-2026-09-04,CI221,CI221,Ementário component record — CI221,ENGENHARIA DE SOFTWARE,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161279,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161279.html,e8495d9f287c708e67a29a9480f3d00ade6b339c226262cc39f9fb7ef2350ae4,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI169-2026-09-04,CI169,CI169,Ementário component record — CI169,Bioinformática,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161280,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161280.html,c75af921e6e8a38f6583165657fc5f33d68c215a4581b08a06a1b09910542599,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI172-2026-09-04,CI172,CI172,Ementário component record — CI172,Processamento de Imagnes Biomédicas,Não consta,,ausente_na_fonte,60,,3,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161281,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161281.html,473999e5ad320fbeafd1b48374a678da3882835083d2632c05761ce7ac0d29c1,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-MN129-2026-09-04,MN129,MN129,Ementário component record — MN129,Metodologia da Pesquisa e Bioética em Saúde,Não consta,,ausente_na_fonte,60,,4,Obrigatória,Departamento de Enfermagem,Departamento de Enfermagem,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161282,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161282.html,2b96f9e30529967d028c7d4253b5cb5dee49d2ee466b1b2840a57ce71b162076,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
EMENTARIO-CI262-2026-09-04,CI262,CI262,Ementário component record — CI262,Trabalho de Conclusão de Curso em Informática,Não consta,,ausente_na_fonte,120,,8,Obrigatória,Departamento de Informática,Departamento de Informática,,,HTML page,not stated,Current 96A portal representation captured 2026-09-04; date and validity not stated,https://ementario.ufpr.br/ementario/disciplina.action?d=161283,2026-09-04,curriculos/2011/fontes/ementario/disciplinas/161283.html,5188601fed48462b87d572555496b50c790391d55423c046a3429c4913a77c2f,Informações Gerais table; Ementa section,indeterminada,The preserved page is a current 96A portal representation with no stated historical date or validity; matching code and curriculum display do not establish that these fields governed in 2011.,The Ementa and Objetivos fields display 'Não consta'. The page does not display prerequisites or corequisites.
