code,title,total_hours,formal_source,status,notes
BC012,TECNICAS HISTOLOGICAS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1032,TÓPICOS EM COMPLEXIDADE COMPUTACIONAL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1033,COMPUTAÇÃO QUÂNTICA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1034,TÓPICOS EM OTIMIZAÇÃO,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1035,TÓPICOS EM COMPUTAÇÃO CIENTÍFICA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1036,TÓPICOS EM PROGRAMAÇÃO PARALELA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1037,TÓPICOS EM SISTEMAS OPERACIONAIS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1038,TÓPICOS EM PROGRAMAÇÃO DE COMPUTADORES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1040,FUNDAMENTOS DA EXTENSÃO UNIVERSITÁRIA,30,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1059,INTRODUÇÃO À TEORIA DA COMPUTAÇÃO,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1084,TÓPICOS EM TEORIA DOS GRAFOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1086,ARQUITETURAS DE ALTO DESEMPENHO,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1087,TÓPICOS EM BANCO DE DADOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1088,SISTEMAS DISTRIBUÍDOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1090,TÓPICOS EM ENGENHARIA DE SOFTWARE,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1091,AVALIAÇÃO DE DESEMPENHO,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1170,TÓPICOS EM COMPUTAÇÃO BIOINSPIRADA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1173,COMPUTAÇÃO GRÁFICA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1174,TÓPICOS EM APRENDIZADO DE MÁQUINA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1175,OFICINA DE COMPUTAÇÃO DE IMAGENS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1176,TÓPICOS EM VISÃO COMPUTACIONAL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1177,TÓPICOS EM COMPUTAÇÃO GRÁFICA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1178,TEORIA DO APRENDIZADO DE MÁQUINA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1204,INOVAÇÃO TECNOLÓGICA E GESTÃO DE PROJETOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1211,CONSTRUÇÃO DE COMPILADORES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1219,SISTEMAS AVANÇADOS DE BANCO DE DADOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1220,TEORIA DE SISTEMAS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1311,FUNDAMENTOS LÓGICOS DA INTELIGÊNCIA ARTIFICIAL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1315,PROJETO DE SISTEMAS OPERACIONAIS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1338,GEOMETRIA COMPUTACIONAL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1339,COMPLEXIDADE COMPUTACIONAL,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1351,TÓPICOS EM INTERAÇÃO HUMANO-COMPUTADOR,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1352,DESIGN DE SISTEMAS SOCIOTÉCNICOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1353,PRÁTICA EM DESENVOLVIMENTO DE SOFTWARE,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1355,TÓPICOS EM ALGORITMOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1360,REDES MÓVEIS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1365,TÓPICOS EM REDES DE COMPUTADORES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1366,GERENCIAMENTO DE REDES DE COMPUTADORES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1367,TÓPICOS EM SIMULAÇÃO DE SISTEMAS COMPUTACIONAIS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1394,PROCESSAMENTO DE IMAGENS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CI1397,SISTEMAS TUTORES INTELIGENTES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CM314,CÁLCULO 4,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMI071,MÉTODOS DE MATEMÁTICA APLICADA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMI103,MÉTODOS COMPUTACIONAIS DE OTIMIZAÇÃO,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMI104,APRENDIZAGEM DE MÁQUINA,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM031,ÁLGEBRA LINEAR I,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM041,TEORIA DE NÚMEROS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM051,ANEIS E CORPOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM201,TEORIA DE GRUPOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM202,ANÁLISE I,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM211,ÁLGEBRA LINEAR II,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM212,ANÁLISE II,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM213,TOPOLOGIA DE SUPERFÍCIES,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM222,ANÁLISE III,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
CMM242,ESPAÇOS MÉTRICOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
LIB038,COMUNICAÇÃO EM LÍNGUA BRASILEIRA DE SINAIS-LIBRAS: FUNDAMENTOS DA EDUCAÇÃO BILÍNGUE PARA SURDOS,60,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
MN150,EPIDEMIOLOGIA CRÍTICA,30,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
MN152,GESTÃO DA QUALIDADE EM SAÚDE,30,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
MN155,SAÚDE DO TRABALHO,30,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
MN156,GÊNERO E SAÚDE COLETIVA,30,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
MN159,PRIMEIROS SOCORROS,15,Resolução 75/22-CEPE Anexo I,comprovada,catálogo formal; não indica oferta
