code,document_kind,document_path,sha256,document_version_or_term,applicability_2023,transcription_status,notes
CI1001,Ficha 2,curriculos/2023/fichas/dinf/CI1001/ficha-2.pdf,84c915a688a91dbd12a2dc5b02880a9e527794e8fdbf93593a6c020fd46253ab,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1002,Ficha 2,curriculos/2023/fichas/dinf/CI1002/ficha-2.pdf,38fa483c190948cb22650b4be7b2fad869c1d4873246ef20ec64b63b167762b6,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1005,Ficha 2,curriculos/2023/fichas/dinf/CI1005/ficha-2.pdf,b16a1f8b6c5e2aca1b6678734c212525ae0ba35826769a880605b36d3d8246e8,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1007,Ficha 2,curriculos/2023/fichas/dinf/CI1007/ficha-2.pdf,ec0352d9e4ed3a4f066cfa3b6a7b95e1216be346869a61f66e8010905a72afa4,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1055,Ficha 2,curriculos/2023/fichas/dinf/CI1055/ficha-2.pdf,42f73a148ef1a696f4e0b6fbb3c30c7f8138b0f6a2cad7adaa5ca5e60cd1274b,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1056,Ficha 2,curriculos/2023/fichas/dinf/CI1056/ficha-2.pdf,2ab19eb5b0ad0a97f2969fee48d20d1e3b7ca4d96c4ec84d54e0984349f6fb74,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1057,Ficha 2,curriculos/2023/fichas/dinf/CI1057/ficha-2.pdf,b88ea7b59c1f1f2fa07ab99bf88d135a0d8f4cdb7493091dea2c7e40b3ea478b,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1062,Ficha 2,curriculos/2023/fichas/dinf/CI1062/ficha-2.pdf,fe80ce8b01026d0ebbc01dbeeb16a0f60b08adcb71f09d2e9e04027718c88a1b,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1068,Ficha 2,curriculos/2023/fichas/dinf/CI1068/ficha-2.pdf,6e058bd05aa110655c29802e29dc4251c719a070b6a05dcca10d35317b4dbb5c,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1163,Ficha 2,curriculos/2023/fichas/dinf/CI1163/ficha-2.pdf,a6ab7995bada41bcdd9682b5fe6911efde431ec27947cbcdd130118a8fe17086,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1171,Ficha 2,curriculos/2023/fichas/dinf/CI1171/ficha-2.pdf,1a498d6c626f7b6c5c79042f154c2165d86fae26749bbc64c92dbbaf739018b6,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1209,Ficha 2,curriculos/2023/fichas/dinf/CI1209/ficha-2.pdf,33f6f9147a0503404a3198f9bea4fe8315a645d9a0b523cc3c5a9e64b3f85edd,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1212,Ficha 2,curriculos/2023/fichas/dinf/CI1212/ficha-2.pdf,1dafc6d8ddd012ef17e9e6e6dba63e8a881740d7d8946f8809b4e8f1d5eb4098,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1218,Ficha 2,curriculos/2023/fichas/dinf/CI1218/ficha-2.pdf,6cd9c7a2c75a3653e5dd7346fc3d2822d98a52692602d30802ecea931bf85185,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1221,Ficha 2,curriculos/2023/fichas/dinf/CI1221/ficha-2.pdf,4868ad64df82d88d38b13334e622edf2a1de36cbe51fcf8bb4abfb2725905ac7,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
CI1316,Ficha 2,curriculos/2023/fichas/dinf/CI1316/ficha-2.pdf,f21ed72e45c0e3d98409397440714da28b457b5733e6e8250d24e79b831169e0,termo/turma não identificados,indeterminado,não transcrita,plano variável; índice não prova 2023-2026
