id,title,institution,source_url,accessed_at,document_date,document_type,local_path,sha256,version_or_validity,purpose,status,notes
inep-package-2020-2024,Indicadores de Trajetória da Educação Superior 2020-2024,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2020_2024.zip,2026-09-04,,official_data_package,administracao/dados/inep/fontes/pacotes/indicadores_trajetoria_es_2020_2024.zip,dbdc6793f74f8623ac7d5e1e3202d58e3b63e11d040b84f6be533c0bf97c1d04,2020-2024 cohorts,W006 national input and clean-checkout reproduction,preserved_lfs,Exact W006 SHA-256; TLS validation was unavailable during W008 recapture
inep-spreadsheet-2010-2019,Indicadores de Trajetória da Educação Superior 2010-2019 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/Indicadores_Educacionais_Indicadores_Fluxo_Educacao_Superior_2010_2019.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2010_2019.xlsx,8317e87af0f7dd72ce83fa095d25c3140ad19dd55841123cfbe75f7d772b8110,2010-2019 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 8299fdc7b2ddfa9c6c80098e178e9f82
inep-spreadsheet-2011-2020,Indicadores de Trajetória da Educação Superior 2011-2020 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/Indicadores_Fluxo_ES_2011_2020.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2011_2020.xlsx,f9c221a075aee4511d10fba33f9080c81a027a9ac661f7ae08547d0c3244be97,2011-2020 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 4ac7a7c366665386679182fc05216b3f
inep-spreadsheet-2012-2021,Indicadores de Trajetória da Educação Superior 2012-2021 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/Indicadores_Fluxo_ES_2012_2021.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2012_2021.xlsx,3738aa6d3c9479695eb1a547684bf9185cdc368de77c0d53cbcd4e77b800dd23,2012-2021 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 19bdf0fa6a5cd2c40377d072fc2cecb6
inep-spreadsheet-2013-2022,Indicadores de Trajetória da Educação Superior 2013-2022 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_fluxo_es_2013-2022.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2013_2022.xlsx,d1c49714ba21a5791766a87e9f2c45624b1361769bf346bfdd5ae3c8b42419f5,2013-2022 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 c40daf2e042ef740b99367c52bf003ba
inep-spreadsheet-2014-2023,Indicadores de Trajetória da Educação Superior 2014-2023 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_fluxo_es_2014-2023.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2014_2023.xlsx,7e7b963517b27580a2b43b951b65eebb45404daab02df4014167a4e77ab743d7,2014-2023 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 19ac7c16ede4ff8bdd1fd23d2b49455d
inep-spreadsheet-2015-2024,Indicadores de Trajetória da Educação Superior 2015-2024 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2015_2024.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2015_2024.xlsx,831fa6adeac46f8610a8715b4df1493784e1b21b5ca2f77eb837ac9f59d573d9,2015-2024 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 7d3de477baea4c6ee30f91413da20d69
inep-spreadsheet-2016-2024,Indicadores de Trajetória da Educação Superior 2016-2024 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2016_2024.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2016_2024.xlsx,b9776a782d1a909e75b4eb42fd1d840a42dac4e0e8ae87dbada451f39f347b6a,2016-2024 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 78aaa735e40af9887f20c92f57666069
inep-spreadsheet-2017-2024,Indicadores de Trajetória da Educação Superior 2017-2024 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2017_2024.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2017_2024.xlsx,b77ac3e2cc951dfd314bbe7a2fc141f3f2ec39470558674e198f567f8f43dbf1,2017-2024 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 396b284630137e1e680cf7a5209fbf20
inep-spreadsheet-2018-2024,Indicadores de Trajetória da Educação Superior 2018-2024 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2018_2024.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2018_2024.xlsx,e710299b0196ed9f87d631295b05cbb6c3381061d6e0693c6917dab83c241009,2018-2024 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 453fca83708cb1da04db4875ab011c5a
inep-spreadsheet-2019-2024,Indicadores de Trajetória da Educação Superior 2019-2024 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2019_2024.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2019_2024.xlsx,9ef61488ac66604368dd29e03f33831924cd8f8d980137da60527a1d195c9cc3,2019-2024 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 4722431a7ace77b86ba69ea265a26cea
inep-spreadsheet-2020-2024,Indicadores de Trajetória da Educação Superior 2020-2024 - XLSX,INEP,https://download.inep.gov.br/informacoes_estatisticas/indicadores_educacionais/indicadores_trajetoria_es_2020_2024.zip,2026-09-04,,official_extracted_spreadsheet,administracao/dados/inep/fontes/planilhas/indicadores_trajetoria_educacao_superior_2020_2024.xlsx,214a7dacd77875c440ffa0551be11008080d017104ffdd65fce0e362bac22f53,2020-2024 cohorts,Exact spreadsheet used by W006 extraction,preserved_lfs,Exact ZIP member; official MD5 a1a4080ea79f6e2696913127575818c2
