source_worksheet,source_cell,source_row,source_workbook,workbook_sha256,posicao_formulario,cod_pesquisa,pesquisa,cod_questionario,eixo_questionario,cabeçalho_questionario,rodape_cabecalho,cod_questao_matriz,enunciado_questao_matriz,cod_questao,enunciado_questao,rodape_enunciado_questao,resp 1,resp 2,resp 3,resp 4,resp 5,resp 6,tipo_quest,qtd_quest,class_quest
Questoes,A12:U12,12,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,11,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),285,SERVIÇOS TERCEIRIZADOS, Avalie os seguintes itens sobre os serviços terceirizados dos ambientes da UFPR que você mais frequenta:,,,,1062,"Qualidade dos serviços de atendimento ao público: recepções, portarias e guaritas",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A13:U13,13,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,12,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),286,SALAS DE AULA,"Avalie as salas de aula, considerando as seguintes proposições:",,,,1063,"Adequação e flexibilidade de organização do espaço perante às necessidades do curso, incluindo as condições de conforto do ambiente",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A14:U14,14,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,13,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),286,SALAS DE AULA,"Avalie as salas de aula, considerando as seguintes proposições:",,,,1064,"Recursos de tecnologia da informação e comunicação, incluindo as ações de modernização dos equipamentos",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A15:U15,15,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,14,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),298,NTE,"Sobre os Núcleos de Tecnologias Educacionais (NTEs), responda:",,,,1106,Você conhece os Núcleos de Tecnologias Educacionais (NTEs)? ,,Sim,Não,,,,,B,2,Objetiva
Questoes,A16:U16,16,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,15,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),298,NTE,"Sobre os Núcleos de Tecnologias Educacionais (NTEs), responda:",,1106,Você conhece os Núcleos de Tecnologias Educacionais (NTEs)?,1066,Avalie a organização e a flexibilidade do espaço destinado ao NTE,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A17:U17,17,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,16,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),298,NTE,"Sobre os Núcleos de Tecnologias Educacionais (NTEs), responda:",,1106,Você conhece os Núcleos de Tecnologias Educacionais (NTEs)? ,1067,"Avalie os recursos de tecnologia da informação e comunicação utilizados pelo NTE, incluindo a qualidade e manutenção dos equipamentos",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A18:U18,18,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,17,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),299,LABORATÓRIOS,"Sobre os laboratórios da UFPR, responda:",,,,1068,Você utilizou um ou mais laboratórios da UFPR?,,Sim,Não,,,,,B,2,Objetiva
Questoes,A19:U19,19,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,18,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),299,LABORATÓRIOS,"Sobre os laboratórios da UFPR, responda:",,1068,Você utilizou um ou mais laboratórios da UFPR?,1069,"Avalie a adequação e flexibilidade de organização do espaço físico no(s) laboratório(s), incluindo as condições de conforto do ambiente",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A20:U20,20,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,19,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),299,LABORATÓRIOS,"Sobre os laboratórios da UFPR, responda:",,1068,Você utilizou um ou mais laboratórios da UFPR?,1070,"Avalie as condições e disponibilidade de equipamentos e recursos de tecnologia da informação e comunicação no(s) laboratório(s), incluindo a manutenção e modernização ",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A21:U21,21,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,20,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),299,LABORATÓRIOS,"Sobre os laboratórios da UFPR, responda:",,1068,Você utilizou um ou mais laboratórios da UFPR?,1071,"Avalie as orientações e disponibilização de informações no(s) laboratório(s) sobre as normas internas de segurança (equipamento de proteção individual, manuseio de produtos, etc.) ",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A22:U22,22,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,21,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),289,BIBLIOTECAS,"Com relação à(s) biblioteca(s) da UFPR que você utiliza, avalie os itens a seguir:",,,,1072,Atualização e manutenção do acervo físico e/ou digital,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A23:U23,23,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,22,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),289,BIBLIOTECAS,"Com relação à(s) biblioteca(s) da UFPR que você utiliza, avalie os itens a seguir:",,,,1073,Uso do catálogo eletrônico (acervo.ufpr.br),,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A24:U24,24,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,23,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),289,BIBLIOTECAS,"Com relação à(s) biblioteca(s) da UFPR que você utiliza, avalie os itens a seguir:",,,,1074,Horário(s) de funcionamento,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A25:U25,25,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,24,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),289,BIBLIOTECAS,"Com relação à(s) biblioteca(s) da UFPR que você utiliza, avalie os itens a seguir:",,,,1075,"Canais de comunicação (portal do SiBi, redes sociais e outros)",,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A26:U26,26,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,25,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),289,BIBLIOTECAS,"Com relação à(s) biblioteca(s) da UFPR que você utiliza, avalie os itens a seguir:",,,,1076,Oferta de capacitações aos usuários,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A27:U27,27,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,26,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),289,BIBLIOTECAS,"Com relação à(s) biblioteca(s) da UFPR que você utiliza, avalie os itens a seguir:",,,,1077,Contéudos de acesso digital (Repositório Digital Institucional e bases/plataformas de dados),,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A28:U28,28,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,27,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),289,BIBLIOTECAS,"Com relação à(s) biblioteca(s) da UFPR que você utiliza, avalie os itens a seguir:",,,,1078,Atendimento às necessidades de acessibilidade física e informacional,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A29:U29,29,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,28,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),290,SISTEMAS E REDES,"Avalie os itens a seguir, sobre sistemas e redes:",,,,1079,SIGA - atendimento às atividades acadêmicas do curso ,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A30:U30,30,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,29,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),290,SISTEMAS E REDES,"Avalie os itens a seguir, sobre sistemas e redes:",,,,1080,UFPR VIRTUAL - atendimento às atividades acadêmicas do curso ,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A31:U31,31,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,30,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),290,SISTEMAS E REDES,"Avalie os itens a seguir, sobre sistemas e redes:",,,,1081,Qualidade das redes ofertadas pela instituição,,Excelente,Bom,Regular,Ruim,Péssimo,Não sei responder,A,6,Objetiva
Questoes,A32:U32,32,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,31,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1082,Coordenação do Curso,,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A33:U33,33,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,32,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1083,Secretaria do Curso,,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A34:U34,34,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,33,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1084,Secretarias dos departamentos que atendem ao curso,,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A35:U35,35,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,34,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1085,Biblioteca(s),,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A36:U36,36,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,35,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1086,"Laboratório(s), quando houver",,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A37:U37,37,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,36,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1087,Unidade de atendimento ao público da PROGRAD,,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A38:U38,38,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,37,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1088,Unidade de estágio da PROGRAD,,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A39:U39,39,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,38,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1089,Unidade da extensão da PROEC,,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A40:U40,40,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,39,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1095,Unidade da cultura da PROEC,,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A41:U41,41,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,40,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1090,"Unidade de apoio pedagógico, psicológico e social da PRAE",,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A42:U42,42,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,41,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1091,Unidade de apoio à saúde (Casas) da PROGEPE,,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
Questoes,A43:U43,43,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,42,105,AVALIAÇÃO DE CURSOS 2022 (13 a 28 de fevereiro 2023),291,AVALIAÇÃO DE SERVIÇOS,"Atribua uma nota que represente sua percepção sobre os serviços prestados pelas unidades a seguir durante o período letivo de 2022. Evite basear-se em uma única ocasião/situação, apresente sua nota com base em critérios de atuação da unidade em face de sua função institucional, desconsidere questões de ordem pessoal/sentimental.",Escala: 10= acima das expectativas; 8 = suficiente/atende às necessidades acadêmicas; 6 = precisa melhorar ; 4 = insuficiente/não atende às demandas acadêmicas; 2 = Inexistente.,,,1092,"SIPAD (Superintendência de Inclusão, Políticas Afirmativas e Diversidade)",,10,8,6,4,2,Não utilizei o serviço,C,6,Objetiva
