code,title,hours,credits,formal_evidence_path,formal_evidence_sha256,catalog_status,notes
MN130,Gestão Hospitalar,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI089,Topicos Em Teoria Da Computacao,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI090,Topicos Em Engenharia De Software,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI091,Topicos De Avaliacao De Desempenho,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI092,Topicos Em Tecnologias E Aplicacoes,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI093,Topicos Em Analise Numerica,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI094,Topicos Em Processamento De Imagens,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI095,Topicos Em Compiladores,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI097,Topicos Em Sistemas Digitais,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI204,Administracao De Informatica,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI205,Administracao Da Producao P/ Informatica,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI211,Construcao De Compiladores,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI214,Estruturas De Linguagens De Programacao,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI301,Tópicos Em Ciência Da Computação I,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI302,Tópicos Em Ciência Da Computação Ii,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI303,Tópicos Em Ciência Da Computação Iii,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI304,Tópicos Em Ciência Da Computação Iv,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI305,Tópicos Em Ciência Da Computação V,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI306,Tópicos Em Ciência Da Computação Vi,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI309,Tópicos Em Inteligência Artificial,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI310,Tópicos Em Aprendizado De Máquinas,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI311,Fundamentos Lógicos Da Inteligência Artificial,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI312,Arquiteturas Avançadas De Computadores,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI313,Arquitetura De Computadores Paralelos,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI314,Introdução À Computação Paralela,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI315,Projeto De Sistemas Operacionais,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI317,Tópicos Em Sistemas Operacionais,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI318,Tópicos Em Computação Paralela,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI320,Tópicos Em Programação De Computadores,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI321,Tópicos Em Sistemas Embutidos,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI338,Tópicos Em Geometria Computacional,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI339,Complexidade Computacional,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI340,Tópicos Em Métodos Formais,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI350,Interação Humano-Computador,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI351,Tópicos Em Interação Humano-Computador,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI355,Tópicos Em Algoritimos,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI358,Administração E Gerência De Redes De Computadores,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI359,Laboratório De Redes De Computadores,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI360,Redes Móveis,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI361,Sistemas Distribuídos,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI362,Sistemas Operacionais Distribuídos,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI363,Tópicos De Multimídia Em Redes De Computadores,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI364,Tópicos Em Computação Em Rede,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI365,Tópicos Em Redes De Computadores,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI366,Tópicos Em Redes Móveis,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI367,Tópicos Em Simulação De Sistemas Computacionais,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI395,Oficina De Visão Computacional E Processamento De Imagens,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI396,Tópicos Em Visão Computacional,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
ET082,Comunicação Em Língua Brasileira De Sinais - Libras,30,2,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI163,Projeto De Software,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI168,Tópicos Em Sistemas De Informação Em Saúde,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI173,Computação Gráfica,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI170,Tópicos Em Bioinformática,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
CI174,Tópicos Em Engenharia Da Computação,60,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,proven,Transcribed against Resolução 34/2010-CEPE catalog; offering availability not asserted.
