target_id,code,ementa,evidence_type,evidence_path,sha256,document_date,applicability,status,notes
CE003,CE003,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161263.html,8b70cb63e015903b2b1d1e4fc596b3249b7f0f3cebba4c3f625a3e3f1bb1646b,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI164,CI164,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161264.html,7f3b5289edb2664004ec2b6c39761042880fc17dd78133718fe03a4ff2cfa9b0,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
BF075,BF075,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161265.html,0f70753326ab68a15babf34ea0d8599c918a4c1507553322956b593c4a89c808,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
BG054,BG054,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161266.html,4bcf3f973b2352949314b71d688e8f2a6a17467d7492e860b99907c1a856ff47,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI162,CI162,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161267.html,b30e8178d028d221d250b451ca120e05f670da5e1a76fda0a00c0c53766dcaed,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI065,CI065,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161268.html,05926c56a8826a75a31a2273c7cab5db238dbcafcd9d9a98f225cd8cc9dff946,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI171,CI171,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161269.html,1dcaa94066ab98d512488738b5f86d671b348e198b7bef06d9524f46784f304e,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI316,CI316,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161270.html,44ecaf83ea35d7a6eeb7b212f87c8c6cb6fde652f2593e5c39b45fb912ab7364,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
MN127,MN127,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161271.html,b9849004bf5de17e13ab0b0dcfc3c6a9381e10d7fd89f3198a12e9f5a6a60a79,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI167,CI167,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161273.html,97d5797451a8062c5e5e8258baf2be452160da4457c71c5a99bccdf60d8b00fd,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI209,CI209,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161274.html,d942ad2a52e3ec2a0982bb31c6af600d2d4d743566921280447a9637120613e3,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI218,CI218,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161275.html,89fdebcb14b4df444b3de3a5b2b0eb5ba7b11f33f09f34b9737ec52e207b81e1,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI394,CI394,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161276.html,88ceae5e08ba0e686058df303c55c5fd769e4689b87d056ae18a7e1fea4e93bf,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
MN128,MN128,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161277.html,80f7adfdb5453f91eddd65dffdf901b34edb5caa94f87508295a7427ea23a5d0,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI220,CI220,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161278.html,39818ab5bedada60dc3bda8430cfb37798036d10544d59bf1ab112975b79e6e5,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI221,CI221,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161279.html,e8495d9f287c708e67a29a9480f3d00ade6b339c226262cc39f9fb7ef2350ae4,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI169,CI169,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161280.html,c75af921e6e8a38f6583165657fc5f33d68c215a4581b08a06a1b09910542599,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI172,CI172,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161281.html,473999e5ad320fbeafd1b48374a678da3882835083d2632c05761ce7ac0d29c1,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
MN129,MN129,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161282.html,2b96f9e30529967d028c7d4253b5cb5dee49d2ee466b1b2840a57ce71b162076,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI262,CI262,,Ementário component record,curriculos/2011/fontes/ementario/disciplinas/161283.html,5188601fed48462b87d572555496b50c790391d55423c046a3429c4913a77c2f,not stated,proven for 96A portal representation,not_located,Portal field: Não consta. It does not supply an ementa.
CI241,CI241,"A disciplina visa apresentar de forma introdutória os principais conceitos da arquitetura de computadores, seus componentes de hardware e representação interna de dados, funcionamento dos sistemas operacionais e redes de computadores.",Ficha 1 (permanente),curriculos/2011/fichas/ficha-1-indeterminada/CI241-ficha-1-2025-3-periodo.pdf,dc041f81505ba3610f7bed682763df3b0166cd7fc1caa5834325dea26532b8df,2025-05-14,indeterminate: signed 2025; no evidence establishes applicability in 2011,indeterminate,Transcribed from the CI241 section of a multi-course 2025 PDF; not used as 2011 ementa.
