target_id,target_type,code,title,status,recommended_term,total_hours,weekly_total_hours,credits,formal_evidence_path,formal_evidence_sha256,applicability,department,department_state,prerequisite,prerequisite_state,corequisite,corequisite_state,equivalence,equivalence_state,hidden_requirement,hidden_requirement_state,ficha1_status,ficha1_evidence_path,ficha1_applicability,ficha2_status,gaps_conflicts
BQ054,coded_component,BQ054,Biologia Molecular E Bioinformática,proven,3,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Bioquímica e Biologia Molecular,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
BC056,coded_component,BC056,Fundamentos De Biologia Celular E Tecidual,proven,3,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Biologia Celular,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,not applicable: component is a member of Bloco A,not_applicable,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI215,coded_component,CI215,Sistemas Operacionais,proven,4,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI062,coded_component,CI062,Tecnicas Alternativas De Programacao,proven,4,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CE003,coded_component,CE003,Estatística Ii,proven,4,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Estatística,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI164,coded_component,CI164,Introdução À Computação Científica,proven,4,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
BF075,coded_component,BF075,Fisiologia Para Informática Biomédica,proven,4,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Fisiologia,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
BG054,coded_component,BG054,Genética E Evolução Para O Curso De Informática Biomédica,proven,4,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Genética,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI162,coded_component,CI162,Engenharia De Requisitos,proven,5,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI065,coded_component,CI065,Algoritmos E Teoria Dos Grafos,proven,5,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI171,coded_component,CI171,Aprendizado De Máquinas,proven,5,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,CE003,proven in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI316,coded_component,CI316,Programação Paralela,proven,5,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
MN127,coded_component,MN127,"Saúde, Meio Ambiente E Sociedade",proven,5,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Enfermagem,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI167,coded_component,CI167,Sistemas De Informação Em Saúde,proven,6,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI209,coded_component,CI209,Inteligencia Artificial,proven,6,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI218,coded_component,CI218,Sistemas De Bancos De Dados,proven,6,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI394,coded_component,CI394,Processamento De Imagens,proven,6,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
MN128,coded_component,MN128,Organização Do Sistema De Saúde Brasileiro,proven,6,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Enfermagem,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI220,coded_component,CI220,Teoria De Sistemas,proven,6,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI221,coded_component,CI221,Engenharia De Software,proven,7,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI169,coded_component,CI169,Bioinformática,proven,7,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,CE003,proven in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI172,coded_component,CI172,Processamento De Imagnes Biomédicas,proven,7,60,4,3,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,CI394,proven in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
MN129,coded_component,MN129,Metodologia Da Pesquisa E Bioética Em Saúde,proven,7,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Enfermagem,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
CI262,coded_component,CI262,Trabalho De Conclusão De Curso Em Informática,proven,7,120,8,6,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",Departamento de Informática,proven in preserved 96A Ementário representation; no separate historical unit act located,,none stated in resolution,,none stated in resolution,,not_located,Complete all 15 Bloco A components before taking this other discipline; Colegiado authorization is an explicit exception,proven in resolution article 2 §1,not_located,,not_located after bounded official searches,not_located,Ementário component page says “Não consta” for ementa; no term/class-specific Ficha 2 located
OPT-07-01,elective_space,,Disciplina optativa,proven,7,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",not_applicable,not_applicable,per selected discipline,indeterminate,not_applicable,not_applicable,not_located,not_applicable,"When a discipline is selected for this elective slot, complete all 15 Bloco A components first; Colegiado authorization is an explicit exception",proven rule; slot mapping explicitly documented,not_applicable,,not_applicable,not_applicable,"Slot, not a coded component; selected offering and Ficha 2 not located"
OPT-08-01,elective_space,,Disciplina optativa,proven,8,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",not_applicable,not_applicable,per selected discipline,indeterminate,not_applicable,not_applicable,not_located,not_applicable,"When a discipline is selected for this elective slot, complete all 15 Bloco A components first; Colegiado authorization is an explicit exception",proven rule; slot mapping explicitly documented,not_applicable,,not_applicable,not_applicable,"Slot, not a coded component; selected offering and Ficha 2 not located"
OPT-08-02,elective_space,,Disciplina optativa,proven,8,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",not_applicable,not_applicable,per selected discipline,indeterminate,not_applicable,not_applicable,not_located,not_applicable,"When a discipline is selected for this elective slot, complete all 15 Bloco A components first; Colegiado authorization is an explicit exception",proven rule; slot mapping explicitly documented,not_applicable,,not_applicable,not_applicable,"Slot, not a coded component; selected offering and Ficha 2 not located"
OPT-08-03,elective_space,,Disciplina optativa,proven,8,60,4,4,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,"proven: Resolução 34/2010-CEPE, effective 2011",not_applicable,not_applicable,per selected discipline,indeterminate,not_applicable,not_applicable,not_located,not_applicable,"When a discipline is selected for this elective slot, complete all 15 Bloco A components first; Colegiado authorization is an explicit exception",proven rule; slot mapping explicitly documented,not_applicable,,not_applicable,not_applicable,"Slot, not a coded component; selected offering and Ficha 2 not located"
