id,title,institution,source_url,accessed_at,document_date,document_type,local_path,sha256,version_or_validity,purpose,status,notes
2011-res34,Resolução nº 34/2010-CEPE,UFPR,https://www.inf.ufpr.br/infobiomedica/Arquivos/CEPE_Resolucao_34_2010.pdf,2026-09-04,2010,Resolution,curriculos/2011/fontes/resolucao-34-2010-cepe.pdf,bd1a73901393c98eb205a0adbaf8a36c1f6fcaa1b0130f4aed066fdc3c343a26,2011 established only for Resolution/PPC; portal capture current,2011 curriculum act and formal catalog,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci067,Ementário component record — CI067,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161253,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161253.html,e509cff9255e12cb78389264b7a04e6175ebf780ac5a68b78db92d2014c530c4,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI067,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-cm005,Ementário component record — CM005,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161254,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161254.html,af2bae14ab5f0c5175049be81662c913338c1e97b75bc15560475a88007e90cd,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CM005,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-bq005,Ementário component record — BQ005,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161255,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161255.html,b47c7fd7f9d131a33a64f604f91b9edcc629245bd02bcfd5a862a478e16ccc02,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for BQ005,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci244,Ementário component record — CI244,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161256,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161256.html,41181de757e0bfbee8c09d4e6ce393a0f5e159efa49873ee058f265e3ac951b4,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI244,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci057,Ementário component record — CI057,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161257,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161257.html,82e1f96889c14b25865484a093f60fdb5a0bb5d6c6b5b9e3f2b1c03314cdf914,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI057,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci166,Ementário component record — CI166,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161258,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161258.html,fadfcb1c476b67e96d4560090f379043ef6338409daaa27e1c0f234ae849cce9,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI166,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-bq054,Ementário component record — BQ054,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161259,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161259.html,77fb834a707aa2c98d88b25e3c01a53e766c348e4f1c7d6e99bd49edc0f9a7ec,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for BQ054,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-bc056,Ementário component record — BC056,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161260,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161260.html,c6b25b1d897c08093ae9c67bdf6e4c0cfe8503fc30205b2fb7afe5e7ef216e78,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for BC056,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci215,Ementário component record — CI215,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161261,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161261.html,b9c35e6f7c73ba4c943f443e6d68c2dc571bbb98b487105438a81e797e20dbfb,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI215,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci062,Ementário component record — CI062,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161262,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161262.html,7c185fa1c34ff08374cdc0162cbaa3b0895d53b68848bd11997a6a598d55b150,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI062,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ce003,Ementário component record — CE003,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161263,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161263.html,8b70cb63e015903b2b1d1e4fc596b3249b7f0f3cebba4c3f625a3e3f1bb1646b,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CE003,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci164,Ementário component record — CI164,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161264,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161264.html,7f3b5289edb2664004ec2b6c39761042880fc17dd78133718fe03a4ff2cfa9b0,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI164,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-bf075,Ementário component record — BF075,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161265,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161265.html,0f70753326ab68a15babf34ea0d8599c918a4c1507553322956b593c4a89c808,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for BF075,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-bg054,Ementário component record — BG054,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161266,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161266.html,4bcf3f973b2352949314b71d688e8f2a6a17467d7492e860b99907c1a856ff47,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for BG054,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci162,Ementário component record — CI162,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161267,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161267.html,b30e8178d028d221d250b451ca120e05f670da5e1a76fda0a00c0c53766dcaed,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI162,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci065,Ementário component record — CI065,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161268,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161268.html,05926c56a8826a75a31a2273c7cab5db238dbcafcd9d9a98f225cd8cc9dff946,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI065,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci171,Ementário component record — CI171,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161269,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161269.html,1dcaa94066ab98d512488738b5f86d671b348e198b7bef06d9524f46784f304e,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI171,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci316,Ementário component record — CI316,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161270,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161270.html,44ecaf83ea35d7a6eeb7b212f87c8c6cb6fde652f2593e5c39b45fb912ab7364,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI316,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-mn127,Ementário component record — MN127,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161271,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161271.html,b9849004bf5de17e13ab0b0dcfc3c6a9381e10d7fd89f3198a12e9f5a6a60a79,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for MN127,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci167,Ementário component record — CI167,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161273,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161273.html,97d5797451a8062c5e5e8258baf2be452160da4457c71c5a99bccdf60d8b00fd,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI167,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci209,Ementário component record — CI209,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161274,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161274.html,d942ad2a52e3ec2a0982bb31c6af600d2d4d743566921280447a9637120613e3,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI209,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci218,Ementário component record — CI218,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161275,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161275.html,89fdebcb14b4df444b3de3a5b2b0eb5ba7b11f33f09f34b9737ec52e207b81e1,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI218,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci394,Ementário component record — CI394,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161276,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161276.html,88ceae5e08ba0e686058df303c55c5fd769e4689b87d056ae18a7e1fea4e93bf,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI394,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-mn128,Ementário component record — MN128,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161277,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161277.html,80f7adfdb5453f91eddd65dffdf901b34edb5caa94f87508295a7427ea23a5d0,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for MN128,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci220,Ementário component record — CI220,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161278,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161278.html,39818ab5bedada60dc3bda8430cfb37798036d10544d59bf1ab112975b79e6e5,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI220,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci221,Ementário component record — CI221,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161279,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161279.html,e8495d9f287c708e67a29a9480f3d00ade6b339c226262cc39f9fb7ef2350ae4,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI221,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci169,Ementário component record — CI169,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161280,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161280.html,c75af921e6e8a38f6583165657fc5f33d68c215a4581b08a06a1b09910542599,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI169,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci172,Ementário component record — CI172,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161281,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161281.html,473999e5ad320fbeafd1b48374a678da3882835083d2632c05761ce7ac0d29c1,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI172,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-mn129,Ementário component record — MN129,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161282,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161282.html,2b96f9e30529967d028c7d4253b5cb5dee49d2ee466b1b2840a57ce71b162076,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for MN129,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
2011-ementario-ci262,Ementário component record — CI262,UFPR,https://ementario.ufpr.br/ementario/disciplina.action?d=161283,2026-09-04,not stated,HTML page,curriculos/2011/fontes/ementario/disciplinas/161283.html,5188601fed48462b87d572555496b50c790391d55423c046a3429c4913a77c2f,2011 established only for Resolution/PPC; portal capture current,department and ementa-field status for CI262,preserved,HTML captured unchanged; session identifiers removed by capture URL canonicalization.
